缘	  
錾	  
辕	  
堑	  
至	  
霞	  
雪	  
霨	  
霹	  
郏	  
酃	  
夹	  
来	  
平	  
雩	  
震	  
需	  
颊	  
颥	  
雳	  
霋	  
霰	  
霸	  
霏	  
雷	  
赉	  
霓	  
霉	  
霆	  
霾	  
雹	  
雾	  
雯	  
霅	  
霁	  
雱	  
霎	  
霭	  
零	  
霍	  
霙	  
霈	  
霪	  
霜	  
霖	  
露	  
霄	  
鬣	  
靿	  
索	  
綦	  
嘏	  
鞬	  
肆	  
巷	  
配	  
耶	  
邛	  
邯	  
邴	  
都	  
鄄	  
鄞	  
鄢	  
鄹	  
孛	  
孝	  
酏	  
靶	  
髢	  
醑	  
取	  
支	  
翅	  
翥	  
聂	  
酸	  
醪	  
鞣	  
枣	  
煮	  
熙	  
鬃	  
卖	  
斟	  
聍	  
鞚	  
鬓	  
酡	  
鞍	  
下	  
丙	  
两	  
丧	  
吏	  
寸	  
更	  
束	  
柬	  
求	  
甫	  
雨	  
五	  
亚	  
再	  
工	  
廿	  
本	  
正	  
甘	  
耳	  
西	  
酉	  
酾	  
严	  
才	  
事	  
丏	  
丐	  
世	  
甚	  
臣	  
酝	  
靺	  
酐	  
韩	  
赜	  
鞲	  
票	  
献	  
酞	  
卉	  
靰	  
髡	  
醢	  
顶	  
项	  
颐	  
颞	  
颠	  
鞑	  
橐	  
碁	  
焉	  
戟	  
戡	  
戬	  
甄	  
载	  
巧	  
考	  
耋	  
酵	  
尅	  
棘	  
酎	  
酺	  
鞕	  
整	  
酣	  
酽	  
丁	  
十	  
博	  
矗	  
耵	  
酊	  
鞴	  
鬒	  
醐	  
醋	  
兢	  
哥	  
酤	  
耻	  
醵	  
髭	  
蛩	  
鞅	  
堇	  
直	  
聃	  
酮	  
醴	  
髯	  
带	  
革	  
聘	  
戴	  
聩	  
蠹	  
黄	  
觋	  
觌	  
觐	  
南	  
贡	  
贲	  
贳	  
贾	  
赍	  
啬	  
鬟	  
卧	  
刺	  
剋	  
剌	  
剽	  
醭	  
聚	  
酶	  
醺	  
攻	  
政	  
故	  
救	  
敕	  
教	  
散	  
敷	  
酥	  
甦	  
酢	  
乾	  
耄	  
髦	  
鞒	  
酰	  
鬏	  
聒	  
酷	  
酗	  
酹	  
共	  
其	  
真	  
酚	  
聊	  
巩	  
酌	  
靸	  
鸪	  
鹀	  
鹁	  
鹊	  
鹕	  
赖	  
鞔	  
飘	  
老	  
鞠	  
麴	  
鞫	  
韂	  
欺	  
歅	  
歌	  
酯	  
酩	  
酪	  
瓢	  
髟	  
斮	  
斯	  
靳	  
鬈	  
粟	  
酬	  
靽	  
联	  
聪	  
耿	  
醚	  
醣	  
裁	  
裘	  
馼	  
聤	  
辜	  
醨	  
醯	  
醾	  
醉	  
醅	  
醇	  
忑	  
恐	  
恶	  
惠	  
酿	  
耽	  
协	  
娶	  
要	  
功	  
勃	  
勅	  
勒	  
勘	  
勤	  
髫	  
翰	  
斡	  
醮	  
酴	  
鞭	  
靴	  
截	  
聆	  
僰	  
巫	  
髹	  
朝	  
期	  
胡	  
过	  
迺	  
逋	  
逑	  
速	  
遭	  
靼	  
醌	  
覃	  
醍	  
醒	  
鞨	  
昔	  
晋	  
曹	  
者	  
耆	  
醛	  
鞯	  
鞳	  
汞	  
枼	  
某	  
栗	  
栽	  
燕	  
囊	  
酲	  
跫	  
职	  
克	  
古	  
可	  
吾	  
哉	  
噩	  
軎	  
銎	  
髻	  
垩	  
基	  
墼	  
鞋	  
鞘	  
恭	  
拲	  
覆	  
紫	  
龈	  
卢	  
龌	  
邶	  
叔	  
攴	  
翡	  
点	  
卡	  
上	  
凸	  
止	  
韭	  
睿	  
乩	  
芈	  
些	  
颅	  
频	  
砦	  
战	  
虐	  
辈	  
歧	  
龉	  
敁	  
非	  
虤	  
龇	  
步	  
卣	  
蜚	  
督	  
龃	  
冀	  
卤	  
觇	  
觑	  
胔	  
贞	  
赀	  
虚	  
剕	  
龋	  
颦	  
龁	  
龅	  
鸬	  
北	  
此	  
虎	  
觜	  
龀	  
歔	  
彪	  
粲	  
鹾	  
斐	  
虔	  
裴	  
訾	  
忐	  
悲	  
惄	  
虑	  
虙	  
婓	  
虏	  
龆	  
齿	  
齘	  
雌	  
餐	  
龄	  
肯	  
背	  
逌	  
逴	  
遽	  
卓	  
桌	  
柴	  
虞	  
龊	  
占	  
壑	  
归	  
师	  
帅	  
幽	  
蚂	  
蚴	  
黝	  
累	  
睱	  
崛	  
赆	  
眼	  
蚓	  
屺	  
岂	  
岷	  
眠	  
幄	  
崌	  
鼎	  
瞩	  
瞰	  
邖	  
邮	  
囝	  
虸	  
觃	  
黜	  
岜	  
帊	  
嵋	  
蜢	  
县	  
嶝	  
瞪	  
野	  
峄	  
睽	  
黪	  
蛹	  
眸	  
蛑	  
峻	  
睃	  
黢	  
髎	  
眙	  
贻	  
蛏	  
罴	  
黑	  
贮	  
崇	  
睆	  
瞎	  
崆	  
瞚	  
蚪	  
髌	  
畹	  
蛇	  
蜿	  
髂	  
罹	  
髋	  
内	  
史	  
央	  
果	  
禺	  
虫	  
且	  
冉	  
凹	  
四	  
曲	  
田	  
由	  
皿	  
目	  
里	  
贼	  
同	  
幅	  
蜮	  
蝠	  
曳	  
中	  
山	  
巾	  
甲	  
申	  
电	  
虬	  
国	  
蚨	  
贱	  
䵟	  
围	  
岍	  
帏	  
盱	  
蚌	  
骭	  
冃	  
帱	  
畴	  
赋	  
帻	  
螓	  
园	  
圊	  
睛	  
蜻	  
蝽	  
因	  
畎	  
眬	  
罘	  
蚘	  
默	  
崴	  
嵅	  
畀	  
岸	  
赈	  
骻	  
豳	  
蛎	  
崎	  
畸	  
峏	  
崦	  
罨	  
頔	  
颗	  
颛	  
螈	  
炭	  
囿	  
贿	  
髓	  
瞭	  
岩	  
崖	  
睚	  
蝰	  
岽	  
畏	  
睫	  
屿	  
岈	  
蚜	  
囤	  
盹	  
眶	  
蛲	  
岖	  
眍	  
毗	  
蚍	  
崭	  
蛭	  
峡	  
崃	  
睐	  
蛱	  
蚲	  
蠕	  
羁	  
岐	  
赎	  
黩	  
圃	  
虾	  
蛃	  
赇	  
骾	  
罡	  
虹	  
蚶	  
黚	  
团	  
财	  
眄	  
幖	  
瞟	  
螵	  
巅	  
町	  
盯	  
赙	  
置	  
罱	  
蝻	  
蟥	  
瞋	  
蜞	  
嵌	  
蟪	  
崾	  
蝴	  
睹	  
署	  
蜡	  
螬	  
赌	  
蝶	  
固	  
圄	  
岢	  
岵	  
罟	  
蚵	  
蛄	  
骷	  
罪	  
帧	  
眦	  
罩	  
帖	  
贴	  
岿	  
蛳	  
螺	  
蚋	  
蜾	  
髁	  
髃	  
冒	  
岫	  
峒	  
盅	  
盎	  
蚰	  
蚺	  
蛆	  
蛊	  
蛐	  
串	  
帼	  
瞤	  
蝈	  
崮	  
岬	  
帽	  
赑	  
岗	  
岘	  
蚬	  
觊	  
髑	  
圐	  
崽	  
蠼	  
贵	  
蝟	  
圜	  
蛔	  
则	  
刚	  
刿	  
剀	  
幞	  
嵬	  
瞍	  
蜒	  
螋	  
帕	  
蚯	  
蝗	  
睥	  
蜱	  
髀	  
睨	  
螅	  
蜓	  
蝌	  
囷	  
峨	  
帐	  
帙	  
畋	  
蛛	  
蛾	  
败	  
账	  
睡	  
蚱	  
罂	  
屹	  
氍	  
眊	  
虼	  
蚝	  
嵊	  
蜊	  
峤	  
巍	  
瞅	  
蝮	  
蛞	  
蜘	  
蜉	  
蚣	  
眨	  
崤	  
囧	  
幡	  
蟠	  
具	  
典	  
冈	  
网	  
瞬	  
蟋	  
贬	  
盼	  
眺	  
睬	  
峪	  
峗	  
峥	  
睁	  
峁	  
嶷	  
购	  
骰	  
图	  
岁	  
岌	  
帆	  
罗	  
蟓	  
骶	  
鸭	  
鸯	  
鹘	  
鹦	  
鹮	  
囫	  
峰	  
蜂	  
冕	  
罶	  
蜀	  
岚	  
兕	  
凯	  
夥	  
眵	  
虮	  
见	  
黟	  
盷	  
瞻	  
蟾	  
赡	  
蠏	  
峋	  
岣	  
略	  
赂	  
骼	  
蜩	  
赒	  
畈	  
贩	  
畖	  
骺	  
圈	  
嵫	  
蜷	  
睇	  
眯	  
蚁	  
赚	  
畔	  
蛘	  
蜣	  
帡	  
嵯	  
蝤	  
蝉	  
嶙	  
瞵	  
赕	  
罔	  
嵝	  
蝼	  
髅	  
罾	  
赠	  
蜕	  
蟮	  
蟀	  
螗	  
蟅	  
眩	  
蚊	  
蛀	  
虻	  
詈	  
幢	  
疃	  
瞳	  
螭	  
䀮	  
蛴	  
蝣	  
蛟	  
蚄	  
蠊	  
螃	  
崒	  
赅	  
骸	  
嵴	  
嶂	  
幛	  
蟑	  
黯	  
崞	  
嵩	  
赔	  
黥	  
赃	  
螂	  
忠	  
思	  
恩	  
患	  
悬	  
愚	  
閟	  
眈	  
蝙	  
罚	  
瞑	  
螟	  
帔	  
囡	  
婴	  
畅	  
嬲	  
助	  
勖	  
男	  
矍	  
崄	  
睑	  
瞧	  
蜍	  
赊	  
界	  
蚧	  
骱	  
囮	  
囵	  
畛	  
崔	  
帷	  
睢	  
瞿	  
雎	  
囹	  
岑	  
岭	  
蛉	  
黔	  
囚	  
肉	  
贝	  
嵛	  
蝓	  
蛤	  
崩	  
胃	  
胄	  
骨	  
迥	  
迪	  
逻	  
遄	  
遇	  
遗	  
遣	  
崐	  
幔	  
蜴	  
蝎	  
赐	  
幌	  
蟏	  
蠓	  
蟒	  
瞒	  
螨	  
瞄	  
蠛	  
崂	  
蠖	  
蟆	  
嵘	  
蝾	  
崧	  
蜥	  
嵖	  
困	  
崿	  
蜈	  
圆	  
蜗	  
蝇	  
帜	  
贶	  
蜎	  
回	  
罢	  
峙	  
崶	  
瞌	  
崚	  
睦	  
崁	  
蟛	  
圉	  
蜐	  
黠	  
墅	  
墨	  
畦	  
眭	  
蛙	  
眇	  
峭	  
蛸	  
瞠	  
螳	  
卜	  
邺	  
业	  
黻	  
黼	  
监	  
览	  
贤	  
临	  
凿	  
黹	  
竖	  
肾	  
鉴	  
坚	  
齆	  
躬	  
屔	  
邱	  
郫	  
鄅	  
鄎	  
衄	  
叟	  
延	  
翱	  
鬼	  
鼠	  
皖	  
魁	  
乓	  
禹	  
臾	  
丘	  
白	  
自	  
臼	  
血	  
乒	  
身	  
川	  
币	  
片	  
璺	  
魅	  
皇	  
鼾	  
魃	  
奥	  
臭	  
衃	  
舁	  
皋	  
顺	  
魆	  
皂	  
粤	  
躯	  
牍	  
射	  
魉	  
卑	  
阜	  
牒	  
鼯	  
齉	  
皑	  
盥	  
鼬	  
岳	  
帛	  
鼻	  
魍	  
舅	  
劓	  
魄	  
皞	  
牌	  
皛	  
皦	  
敀	  
敫	  
皓	  
鼷	  
皤	  
皭	  
兵	  
囟	  
舆	  
鼢	  
段	  
毁	  
舄	  
囱	  
的	  
鹎	  
兜	  
鼽	  
躲	  
鼩	  
齁	  
版	  
皈	  
衅	  
魑	  
皎	  
皜	  
息	  
躭	  
牖	  
䶎	  
迫	  
追	  
遑	  
邀	  
鼹	  
泉	  
爨	  
齄	  
臬	  
向	  
睾	  
㿠	  
躺	  
魈	  
每	  
篆	  
褖	  
笃	  
繁	  
毽	  
犍	  
箫	  
缺	  
笋	  
第	  
氟	  
矧	  
簋	  
氯	  
笥	  
卸	  
邾	  
郜	  
季	  
笆	  
丢	  
廷	  
私	  
簦	  
氢	  
毪	  
秮	  
笞	  
筷	  
熏	  
筦	  
稼	  
科	  
箜	  
管	  
箢	  
氨	  
夭	  
失	  
我	  
朱	  
矢	  
禾	  
秉	  
长	  
乍	  
垂	  
壬	  
生	  
重	  
毧	  
短	  
千	  
升	  
午	  
年	  
牛	  
缶	  
乇	  
乞	  
乱	  
毛	  
气	  
秣	  
笺	  
拜	  
秆	  
竽	  
竿	  
笄	  
竺	  
筹	  
籍	  
箦	  
篝	  
氰	  
箐	  
舔	  
笼	  
箴	  
犄	  
嵇	  
颓	  
稽	  
矩	  
筐	  
箧	  
筚	  
篚	  
秕	  
簪	  
笸	  
秤	  
筇	  
馞	  
犊	  
毬	  
策	  
筻	  
氩	  
牺	  
甜	  
笨	  
缸	  
穑	  
簠	  
簧	  
稹	  
箕	  
筑	  
簌	  
籁	  
穗	  
簕	  
簸	  
筮	  
箸	  
簟	  
篥	  
氪	  
牯	  
牾	  
靠	  
罅	  
乖	  
乘	  
毡	  
黏	  
筛	  
黧	  
秧	  
稞	  
盉	  
看	  
眚	  
租	  
笛	  
筒	  
岙	  
氙	  
种	  
氤	  
箅	  
算	  
篡	  
篾	  
纂	  
篑	  
犋	  
稷	  
秽	  
笕	  
箩	  
甥	  
赞	  
篮	  
利	  
刮	  
制	  
剩	  
穙	  
筵	  
魏	  
氚	  
篁	  
篦	  
稗	  
乔	  
氘	  
篼	  
穆	  
敌	  
敏	  
牧	  
秩	  
笑	  
牲	  
笙	  
笮	  
犁	  
竹	  
牦	  
笔	  
矫	  
毳	  
犇	  
筅	  
簃	  
矮	  
簉	  
馥	  
牿	  
稃	  
稀	  
稻	  
氛	  
掰	  
筝	  
氇	  
氡	  
竼	  
笈	  
